"filename","nrows","ncols","nas"
"turnstile2/turnstile_121013.txt",213948,8,0
"turnstile2/turnstile_121020.txt",215962,8,0
"turnstile2/turnstile_121027.txt",222511,8,0
"turnstile2/turnstile_121103.txt",168524,8,0
"turnstile2/turnstile_121110.txt",193568,8,0
"turnstile2/turnstile_121117.txt",202137,8,0
"turnstile2/turnstile_121124.txt",201118,8,0
"turnstile2/turnstile_121201.txt",206642,8,0
"turnstile2/turnstile_121208.txt",204279,8,0
"turnstile2/turnstile_121215.txt",210125,8,0
"turnstile2/turnstile_121222.txt",208669,8,0
"turnstile2/turnstile_121229.txt",206290,8,0
"turnstile2/turnstile_130105.txt",203144,8,0
"turnstile2/turnstile_130112.txt",210943,8,0
"turnstile2/turnstile_130119.txt",215328,8,0
"turnstile2/turnstile_130126.txt",212133,8,0
"turnstile2/turnstile_130202.txt",229208,8,0
"turnstile2/turnstile_130209.txt",218266,8,0
"turnstile2/turnstile_130216.txt",225666,8,0
"turnstile2/turnstile_130223.txt",216988,8,0
"turnstile2/turnstile_130302.txt",232532,8,0
